,Başlık,İçerik,Kategori
57,Adana'da seyir halindeki tırda yangın çıktı,Adana'da çikolata yağı yüklü tırda çıkan yangın itfaiye ekiplerince söndürüldü.,Türkiye
58,Denetimden kaçarken çarptığı polisi yaralayan şüpheli tutuklandı,"İstanbul Tuzla'da kontrol noktasında ""dur"" ihtarına uymayıp polis memuruna çarparak kaçan aracın sürücüsü tutuklandı.",Türkiye
59,Kamyonu çalınan tüccar iz peşinde: Kayıp parçalar birleşiyor,"Konya'da, aile şirketine ait kamyonun çalınması üzerine güvenlik kameralarından iz sürüp Adana'da parçalarının bir kısmını bulan Mustafa Sarıbaş (36), kabin kısmına da Nevşehir'de ulaştı.",Türkiye
60,142 milyon TL'lik kaçakçılık girişimi engellendi,"Ticaret Bakanlığı Gümrük Muhafaza ekipleri, Türkiye'nin dört bir yanında gerçekleştirdikleri operasyonlar sonucu, son 2 haftada yaklaşık 142 milyon liralık kaçakçılık girişime engel oldu.",Türkiye
61,53 ilde uyuşturucu operasyonu: 434 gözaltı,"İçişleri Bakanı Ali Yerlikaya, ""Narkoçelik- 9"" operasyonlarında, 1 ton 43 kilogram uyuşturucu ve 387 bin uyuşturucu hap ele geçirildiğini, 434 kişinin yakalandığını açıkladı.",Türkiye
62,Bingöl'de otomobil istinat duvarına çarptı: 2 ölü,Bingöl'de otomobilin istinat duvarına çarpması sonucu 2 kişi yaşamını yitirdi.,Türkiye
63,İstanbul'da seyir halindeki otomobile silahlı saldırı: 2 yaralı,Ümraniye'de seyir halindeki otomobile uzun namlulu silahlarla düzenlenen silahlı saldırıda 2 kişi yaralandı.,Türkiye
64,Bingöl'de hafif ticari araç otomobille çarpıştı: 4 yaralı,Bingöl'de hafif ticari araç ile otomobilin çarpışması sonucu 4 kişi yaralandı.,Türkiye
65,Tokat’ta çıkan yangında 2 katlı ev kullanılmaz hale geldi,Tokat’ın Niksar ilçesinde çıkan yangında 2 katlı ahşap ev yandı.,Türkiye
66,Karşı şeride geçen otomobil tırla çarpıştı: 2 ölü,"Bursa'nın Mustafakemalpaşa ilçesinde, seyir halindeyken karşı şeride geçip tırla çarpışan otomobildeki 2 kişi yaşamını yitirdi.",Türkiye
67,Kars'ta 4 katlı otelde yangın,Kars'ta 4 katlı bir otelin çatı katında çıkan yangın itfaiye ekiplerince söndürüldü.,Türkiye
68,"Artvin’de gazeteciler kaza yaptı: 1 ölü, 1 yaralı","Artvin'de kontrolden çıkan bir araç kayalara çarptı. Yaşanan trafik kazasında bir gazeteci hayatını kaybetti, TRT Haber Artvin Muhabiri Fatih Tüysüz de yaralandı.",Türkiye
69,Antalya'da silahlı çatışma: 14 yaralı,Antalya'nın Kepez ilçesinde bir kafede çıkan silahlı çatışmada 14 kişi yaralandı. Polis ekipleri olayla ilgili 18 kişiyi gözaltına aldı.,Türkiye
70,Uşak'ta 1 milyon 102 bin makaron ele geçirildi,Uşak'ta polis ekiplerince düzenlenen 2 ayrı operasyonda 1 milyon 102 bin 500 bandrolsüz makaron (filtreli sigara kağıdı) ele geçirildi.,Türkiye
71,Ankara'da yangın: Can kaybı 2'ye yükseldi,"Ankara'nın Beypazarı ilçesinde, müstakil evde çıkan yangında dumandan etkilenen 3 çocuktan biri daha tedavi gördüğü hastanede yaşamını yitirdi.",Türkiye
72,Malatya'da zehir taciri 9 kişiye tutuklama,Malatya’da torbacı olarak tabir edilen uyuşturucu satıcılarına yönelik düzenlenen operasyonlarda gözaltına alınan 10 zanlının 9’u tutuklandı.,Türkiye
73,Kocaeli'de balıkçılar ölü yunus buldu,Kocaeli'nin Karamürsel ilçesinde amatör balıkçılar ölü yunus buldu. Yunusun silahla vurulmuş olabileceği aktarıldı.,Türkiye
74,Pendik'te muhtar adayının çakarlı konvoyuna ceza,"Pendik'te muhtar adayı, çakarlı araçlarla konvoy yaparak vatandaşlardan oy istedi. Pendik Kaymakamlığı konvoydaki usulsüz çakarlı araçlara işlem yapıldığını açıkladı. Trafik ekipleri tarafından gözaltına alınan iki sürücüye toplam 25 bin 756 lira ceza yazıldı.",Türkiye
75,Karşı şeride geçerek 6 kişinin ölümüne neden olan tır sürücüsü tutuklandı,"Hatay'ın Dörtyol ilçesinde, karşı şeride geçerek çarptığı otomobildeki aynı aileden 6 kişinin yaşamını yitirmesiyle ilgili gözaltına alınan tır şoförü tutuklandı.",Türkiye
76,"Minibüs, tünelde çalışan işçilerin bulunduğu platforma çarptı: 8 yaralı","Artvin'in Yusufeli ilçesinde minibüs, tünelde çalışan işçilerin bulunduğu platforma çarptı. Yaşanan trafik kazasında 8 kişi yaralandı.",Türkiye
77,Sahte parayla büyükbaş hayvan dolandırıcılığında 2 tutuklama,"Burdur'un Çavdır ilçesinde sahte parayla büyükbaş hayvan alarak dolandırıcılık yaptıkları iddia edilen 2 şüpheli tutuklandı. Çalışmada 699 bin 600 lira değerinde sahte para ele geçirildi, zanlılara ait ahırda ele geçirilen 4 büyükbaş hayvan da sahiplerine teslim edildi.",Türkiye
78,SASKİ: Çeşme sularında problem yaşanmayacak,"Sakarya Büyükşehir Belediyesi Su ve Kanalizasyon İdaresi, Sapanca Gölü'nde yaşanan yakıt maddesi sızıntısı nedeniyle evlerde kullanılan çeşme sularında problem yaşanmayacağını bildirdi.",Türkiye
79,Bakan Kacır: Savunmada neleri başardığımızı dost düşman herkes gördü,"Sanayi ve Teknoloji Bakanı Kacır, ""Türkiye'nin öz evlatları, bu milletin evlatları, BAYRAKTAR'la, ANKA'yla, AKINCI'yla, AKSUNGUR'la, HÜRKUŞ'la, HÜRJET'le, ATAK'la, GÖKBEY'le, KIZILELMA'yla, KAAN'la gökyüzüne imza atıyor, inşallah daha büyük işler de yapacağız"" dedi.",Türkiye
80,Ekmek arası uyuşturucuya 15 yıl hapis talebi,"Adana'da, gözaltında bulunan arkadaşına döner ekmeği arasına gizlediği uyuşturucuyu getirdiği gerekçesiyle tutuklanan sanık hakkında 15 yıla kadar hapis istemiyle dava açıldı.",Türkiye
81,Trabzon'da göçük altında kalan 3 işçinin cansız bedenine ulaşıldı,Trabzon'un Hayrat ilçesinde toprak kayması sonucu göçük altında kalan 3 işçinin cansız bedenine ulaşıldı.,Türkiye
82,Düzce'de otobüs bariyerlere çarptı: 17 yaralı,"Düzce'de, yolcu otobüsünün bariyerlere çarpması sonucu 17 kişi yaralandı.",Türkiye
83,Ege Denizi için fırtına uyarısı,Meteoroloji Genel Müdürlüğünden Ege Denizi için fırtına uyarısında bulunuldu.,Türkiye
84,"Yargıtay Başkanı, seçimin yedinci turunda da seçilemedi",Yargıtay Başkanı Mehmet Akarca'nın 4 yıllık görev süresinin dolması nedeniyle yapılmaya başlanan başkanlık seçimlerinin yedinci turunda da hiçbir aday salt çoğunluğu sağlayamadı. Seçime sekizinci tur oylamasıyla devam ediliyor.,Türkiye
85,Muşlu aileler DEM Parti önünde eylemini sürdürdü,"Muş'ta çocuklarının terör örgütü PKK tarafından dağa götürülmesinden DEM Parti'yi sorumlu tutan aileler, partinin il başkanlığı binası önünde oturma eylemi yaptı.",Türkiye
