,Başlık,İçerik,Kategori
75,Şırnak Gelişim Ligi'nde Cizre Dicle Spor şampiyon oldu,Şırnak'ta düzenlenen ve 10 hafta süren U14 Gelişim Ligi'nde Cizre Dicle Spor şampiyon oldu.,Spor
76,Galatasaray'ın MKE Ankaragücü maçı kamp kadrosu açıklandı,Trendyol Süper Lig'in 26. haftasında 18 Şubat Pazar günü MKE Ankaragücü'ne konuk olacak Galatasaray'ın kamp kadrosu belli oldu.,Spor
77,Bilal Erdoğan: Bu kültürel bilinçlenme öz güvene katkı sağlayacaktır,"Dünya Etnospor Konfederasyonu Başkanı Bilal Erdoğan, ""Batı otoriteleri Rusya'yı cezalandıracağım diye genç sporcuları cezalandırıyor. İsrail apaçık soykırıma imza atarken İsrailli sporcularla ilgili benzer bir tavrı Batı ve uluslararası spor otoritelerinden göremiyoruz."" dedi.",Spor
78,Hakan Çalhanoğlu performansıyla göz dolduruyor,"Inter forması giyen Hakan Çalhanoğlu, performansıyla İtalya'da manşetleri süslemeye devam ediyor. Milan efsanesi Arrigo Sacchi, Hakan için övgü dolu cümleler kullandı.",Spor
79,Gaziantep FK Samsunspor'u ağırlayacak,"Gaziantep FK, Trendyol Süper Lig'in 26. haftasında 18 Şubat Pazar günü Yılport Samsunspor ile karşılaşacak.",Spor
80,Hatayspor ile Sivasspor yenişemedi,Trendyol Süper Lig'in 26. haftasında oynanan Atakaş Hatayspor-EMS Yapı Sivasspor maçı 1-1 sona erdi.,Spor
81,Para badmintoncular Dünya Şampiyonası'na hazır,"Türkiye Para Badminton Milli Takımı, Dünya Şampiyonası'nın hazırlıklarını Ankara'da tamamladı.",Spor
82,İstanbulspor 90+9'da Antalya'dan puanla döndü,Trendyol Süper Lig'in 26. haftasında oynanan Bitexen Antalyaspor-İstanbulspor maçı 2-2 sona erdi.,Spor
83,Avrupa ikincisi Kadın Güreş Milli Takımı yurda döndü,"Romanya'da düzenlenen Avrupa Şampiyonası'nda ikinci olan Kadın Güreş Milli Takımı, İstanbul'a geldi.",Spor
84,Voleybol Milletler Ligi'nde ülke sayıları 18 olacak,"Uluslararası Voleybol Federasyonu (FIVB), Milletler Ligi'nin (VNL) 2025’te kadınlarda ve erkeklerde 18 takıma yükseleceğini duyurdu.",Spor
85,Cumhurbaşkanı Başdanışmanı Akif Çağatay Kılıç Alperen Berber'i ödüllendirdi,"Cumhurbaşkanı Başdanışmanı Akif Çağatay Kılıç, Romanya'da düzenlenen Avrupa Güreş Şampiyonası'nda grekoromen stil 82 kiloda altın madalya kazanan Alperen Berber'e tablet bilgisayar hediye etti.",Spor
86,Uluslararası Kızılalan Dağ Bisiklet Yarışı Alanya'da başladı,"Antalya'nın Alanya ilçesi düzenlenen ""Uluslararası Kızılalan MTB CUP C2 Dağ Bisiklet Yarışı"" başladı.",Spor
87,Pistin tozunu attıran minik Zayn babasının izinden gidiyor,"Kullandığı milyonluk araçlarla adından söz ettiren ve Türkiye Pist ve Süpermoto Şampiyonası'nın 3. Ayak Yarışları'nda kariyerinin ilk zaferine ulaşan 4 yaşındaki Zayn Sofuoğlu, her aracı oyuncak gibi rahat kullanmasıyla dikkatleri üzerine çekmeye devam ediyor.",Spor
