,Başlık,İçerik,Kategori
66,Borsa günün ilk yarısında yükseldi,"Borsa İstanbul'da BIST 100 endeksi, günün ilk yarısında yüzde 1,75 değer kazanarak 9.270,84 puana çıktı.",Ekonomi
67,Kredi kartlarındaki komisyon artışını tüketicilere yansıtan işletmelere tepki,"Son dönemde bazı işletmelerin kredi kartı komisyon oranlarınki artışı tüketicilere yansıttığı gündeme geldi. Konuyla ilgili birçok vatandaştan şikayet geldi. Tüketici Hakları Derneği, mağduriyetlerin önüne geçmek için yasal yollara başvurulacağını duyurdu.",Ekonomi
68,Emtia piyasasında aşağı yönlü baskı hakim oldu,"Emtia piyasasında, geçen hafta merkez bankalarının faiz kararları etkili olurken, dolara talebin artmasıyla aşağı yönlü baskı hakim oldu.",Ekonomi
69,Kartlı ödemeler şubatta 1 trilyon lirayı aştı,"Kredi kartları, banka kartları ve ön ödemeli kartlarla şubat ayında yapılan toplam ödeme tutarı geçen yılın aynı dönemine göre yüzde 152 artarak 1,01 trilyon lira oldu.",Ekonomi
70,BIST 100 haftaya yatay başladı,"Borsa İstanbul'da BIST 100 endeksi, haftaya yatay bir seyirle 9.113,27 puandan başladı.",Ekonomi
71,Bayram ikramiyeleri ödenme tarihleri belli oldu,"Bakan Işıkhan, ""Emekli vatandaşlarımızın bayram ikramiyesi ödemeleri Ramazan Bayramı öncesinde 2 Nisan ile 5 Nisan tarihleri arasında banka hesaplarına yatırılacaktır"" açıklamasını yaptı. SSK kapsamındakilere 2, 3 ve 4 Nisan, Bağ-Kur emeklilerine 5 Nisan, Emekli Sandığı emeklilerine ise 2, 3 ve 5 Nisan'da ödeme yapılacak.",Ekonomi
72,İşsizlik rakamları açıklandı,"Türkiye'de işsizlik oranı, 2023'te bir önceki yıla göre 1 puan azalışla yüzde 9,4 olarak gerçekleşti.",Ekonomi
73,Endeks kontratı haftaya düşüşle başladı,"Borsa İstanbul Vadeli İşlem ve Opsiyon Piyasası'nda nisan vadeli BIST 30 endeksine dayalı kontrat, haftaya yüzde 0,3 azalışla 10.067,00 puandan başladı.",Ekonomi
74,Küresel piyasalar haftaya temkinli başladı,"Küresel piyasalar, yoğun veri takvimiyle birlikte haftaya temkinli başladı. Bugün ABD'de inşaat izinleri ve yeni konut satışları verileri, yurt içinde iş gücü istatistikleri takip edilecek.",Ekonomi
75,Emeklilerin promosyon başvuruları başladı,Kamu bankalarında 8 ila 12 bin liraya yükseltilen emekli promosyon tutarları için güncelleme başvuruları bugün itibarıyla başladı. Perşembe günü ödemelerin başlayacağı süreçte emekliler hangi işlemleri yapacak? Detaylar haberimizde.,Ekonomi
