,Başlık,İçerik,Kategori
547,"""Zaferin İzinde Malazgirt"" belgesel filminin gala gecesi yapıldı","Kültür ve Turizm Bakanlığı’nın destekleriyle 2020 yılında 12 üniversiteden 40’ı aşkın bilim insanının katılımıyla başlatılan ""Malazgirt Savaşının Tespit Çalışmaları"" proje kapsamında yönetmenliğini Coşkun Aral ve Murat Toy’un üstlendiği ‘Zaferin İzinde Malazgirt’ belgesel filmi çekildi.",Kültür Sanat
548,Harran Sarayı kazıları çalışan sayısı artırılarak hızlandırıldı,"Kültür ve Turizm Bakanlığı, 9 asırlık Harran Sarayı'ndaki kazılarda işçi sayısını 12'den 70'e çıkararak, çalışmaların hızlandırılmasını sağladı.",Kültür Sanat
549,Mimar Sinan'ın eseri Cedid Ali Paşa Camii 458 yıldır ihtişamını koruyor,"Osmanlı Sadrazamı Cedid Ahmet Paşa tarafından Tekirdağ'ın Marmaraereğlisi ilçesinde Mimar Sinan'a yaptırdığı tarihi cami, 458 senedir dimdik ayakta kalarak hala heybetini koruyor.",Kültür Sanat
550,Robbie Williams Türkiye'deki ilk konserini Bodrum'da verdi,"İngiliz şarkıcı ve şarkı yazarı Robbie Williams, Türkiye'de ilk kez konser verdi.",Kültür Sanat
551,Sanatçı Cahit Seyhanlı son yolculuğuna uğurlandı,"Adanalı sanatçı Cahit Seyhanlı 84 yaşında hayata veda etti. Sanatçının ölümü sebebiyle MHP Genel Başkanı Devlet Bahçeli taziye mesajı yayımladı. Ses sanatçısı Seyhanlı'nın cenazesi, memleketi Adana'da son yolculuğuna uğurlandı.",Kültür Sanat
552,Bu hafta 11 film vizyona girecek,"Sinema salonlarında bu hafta dördü yerli, toplam 11 film sinemaseverlerle buluşacak.",Kültür Sanat
553,"British Museum'daki birçok eserin kaybolduğu, çalındığı ya da zarar gördüğü belirlendi","İngiltere'nin ve dünyanın önemli müzelerinden British Museum'un depolarındaki birçok eserin kaybolduğu, çalındığı veya zarar gördüğü ortaya çıkarken olaydan sorumlu olduğu düşünülen personel işten çıkarıldı.",Kültür Sanat
554,Niğde'de tarihi eser operasyonunda 978 obje ele geçirildi,Niğde'de düzenlenen tarihi eser operasyonunda 4 şüpheli yakalandı.,Kültür Sanat
555,Gezici kütüphane aracı bin çocukla buluştu,"Tepebaşı Belediyesinin, kırsal mahalledeki çocukların yaz tatilini verimli geçirebilmeleri için hazırladığı Gezici Kütüphane ve Eğlence Aracı, kırsal mahalle sakini bin çocuk ile buluştu.",Kültür Sanat
556,Panorama 1326 Bursa Fetih Müzesi'ni ziyaret eden 2 milyonuncu müşteriye sürpriz,"Bursa'nın beylikten cihan devletine uzanan yolculuğunu anlatan Panorama 1326 Bursa Fetih Müzesi'nin ziyaretçi sayısı 2 milyona ulaştı. 2 milyonuncu kişi olan Şermin Yantur müzeye girdiği anda konfeti patlatılarak sürpriz yapıldı, hediyedeler de verildi.",Kültür Sanat
557,Deprem bölgesindeki tarihi eserler enkazlardan çıkarılıyor,Deprem Bölgesinde anıtsal ve tescilli kültür varlıklarının kurtarılmasına yönelik çalışmalar sürüyor. Hatay'da depremlerden bu yana 550 nitelikli eser enkazdan çıkarıldı.,Kültür Sanat
558,Assos antik kentinde 2 bin 300 yıllık ve 320 gram ağırlığında terazi bulundu,"Çanakkale’nin Ayvacık ilçesindeki Assos Ören Yeri'nde Agora’nın Doğusu’ndaki Roma Dönemi Nymphaeumunda (Anıtsal Çeşme) yürütülen kazılarda milattan önce 3. yüzyıla tarihlenen 2 bin 300 yıllık, 320 gram ağırlığında kurşundan yapılmış Assos kentine ait terazi ağırlığı bulundu. Bulunan cismin bugüne kadarki en büyük ağırlık olduğu tespit edildi.",Kültür Sanat
559,"Antandros kazılarından 1700 yıllık ""Roma villası"" çıktı",Balıkesir'in Edremit ilçesinde kazı çalışmaları sürdürülen Antandros Antik Kenti'nde millattan sonra 300 yıllarında yapıldığı tahmin edilen bin yaşındaki ikinci bir 'Roma villası' kalıntılarına rastlandı.,Kültür Sanat
560,42 belgesel projesine 6 milyon 750 bin lira destek verilecek,"Kültür ve Turizm Bakanlığı, 42 belgesel film yapım projesine 6 milyon 750 bin lira destek sağlanacağını belirtti.",Kültür Sanat
561,Dünyaca ünlü İngiliz şarkıcı Robbie Williams Bodrum'da konser verecek,"Dünyaca ünlü İngiliz şarkıcı ve söz yazarı Robbie Williams, 17 Ağustos'ta Bodrum'da müzikseverlerle buluşacak.",Kültür Sanat
562,Tahliyesine karar verilen Balat'taki Camhane Sanat Merkezi boşaltıldı,"Eski İstanbul Büyükşehir Belediye Başkanı (İBB) Başkanı Kadir Topbaş tarafından sosyal sorumluluk projesi kapsamında imzalanan protokolle cam sanatçısı Yasemin Aslan Bakiri'ye tahsis edilen Camhane Sanat Merkezi, sözleşme süresi ve hukuki sürecin sona ermesinin ardından tahliye edildi.",Kültür Sanat
563,Kapadokya Balon ve Kültür Yolu Festivali'ne büyük ilgi,"Kültür ve Turizm Bakanlığı'nca Nevşehir'de 5-13 Ağustos'ta düzenlenen Kapadokya Balon ve Kültür Yolu Festivali'ne 1 milyon 50 bin kişi katıldı. Türkiye Kültür Yolu Festivalleri, 19-27 Ağustos arasında Trabzon'da Sümela Kültür Yolu ve Erzurum'da Palandöken Kültür Yolu festivalleri ile devam edecek.",Kültür Sanat
564,Ankara'nın koruma altındaki 'ağaç müzesi',"Ankara Üniversitesi Fen Fakültesi yerleşkesi, mimarisi ve barındırdığı egzotik canlı türleri ile 3'üncü derece sit alanı olarak korunuyor. Fakültede biyoloji ve botanik okuyan öğrencilerin uygulama alanı da olan ve 'ağaç müzesi' olarak bilinen yerleşke, ziyaretçilerin de ilgi odağı.",Kültür Sanat
565,Anadolu'nun manevi mimarlarından Hacı Bektaş Veli vefatının 752. yılında anılıyor,"Anadolu'nun manevi mimarlarından Hacı Bektaş Veli, vefatının 752. yılında Nevşehir'in Hacıbektaş ilçesinde çeşitli etkinliklerle anılıyor.",Kültür Sanat
566,"TDV İslam Ansiklopedisi'nin hikayesini anlatan belgesel, ilk seyircisiyle buluştu","Türk yönetmen Murat Pay'ın, Türkiye Diyanet Vakfı (TDV) İslam Ansiklopedisi'nin hikayesini anlattığı, TRT ortak yapımı belgeseli ""Hep 33 Yaşında (Forever Thirty Tree)"", 29. Saraybosna Film Festivali'nde (SFF) dünya prömiyerini yaparak izleyicilerle buluştu.",Kültür Sanat
567,Kapadokya Balon ve Kültür Yolu Festivali sürüyor,Kapadokya Balon ve Kültür Yolu Festivali kapsamında gerçekleştirilen konserlerde çok sayıda sanatçı hayranlarıyla buluşuyor.,Kültür Sanat
568,Saraybosna Film Festivali 29'uncu kez kapılarını açtı,Bosna Hersek'in başkenti Saraybosna'da bu yıl 29'uncu kez düzenlenen Saraybosna Film Festivali görkemli bir açılış töreniyle başladı. Açılış töreninde dünyaca ünlü oyuncu ve yönetmenler kırmızı halıda boy gösterdi. TRT'nin dijital platformu Tabii'de yayınlanan Mevlana Celalettin-i Rumi dizisi festivalin ikinci gününde sinemaseverlerle buluşacak.,Kültür Sanat
569,Erzurum'un Osmanlı'dan günümüze ticaret ve sanayisi araştırıldı,"Erzurum Teknik Üniversitesi Edebiyat Fakültesi Tarih Bölümü Öğretim Üyesi Prof. Dr. Murat Küçükuğurlu’nun kaleme aldığı, Erzurum Ticaret ve Sanayi Odası (ETSO) tarafından basılan ""Osmanlı’dan Günümüze Erzurum Ticaret ve Sanayi Odası"" kitabının tanıtımı yapıldı.",Kültür Sanat
570,Tarihi eserleri satmak isteyen şüpheliyi jandarma ekipleri yakaladı,"Kastamonu'nun Taşköprü ilçesinde elindeki tarihi eserleri satmaya çalışan şüpheli, jandarma ekiplerince gözaltına alındı.",Kültür Sanat
571,Tlos Antik Kenti tiyatrosu yeni oyunlar için hazırlanıyor,"UNESCO Geçici Kültür Mirası Listesi'nde yer alan, Muğla'nın Seydikemer ilçesindeki Tlos Antik Kenti’nin tiyatrosu, eski ihtişamına kavuşturuluyor. Kazı Heyeti Başkanı Korkut, ""Planlamalarımıza göre 2024 sonunda tiyatronun restorasyonunu bitirmek istiyoruz. Tamamen alanın kendi malzemesini kullanıyoruz"" açıklamasını yaptı.",Kültür Sanat
572,Depremde hasar gören Aziz Nikola Rum Ortodoks Kilisesi'nde güçlendirme çalışmaları yapılıyor,Kahramanmaraş merkezli 6 Şubat'taki depremlerden etkilenen Hatay'ın İskenderun ilçesindeki Aziz Nikola Rum Ortodoks Kilisesi'nde güçlendirme çalışmaları başladı.,Kültür Sanat
573,İnsanlık tarihine ışık tutan Karahantepe'de kazılar başladı,Neolitik dönemin önemli yerleşimleri arasında yer alan Şanlıurfa'daki Karahantepe Ören Yeri'nde 3 ay sürecek 2023 kazı çalışmaları 40 kişilik ekiple başladı.,Kültür Sanat
