,Başlık,İçerik,Kategori
76,Kartallar dahil 3 bin 600 kuşu öldürmekle suçlanan adamlar hakim karşısına çıkıyor,"ABD'li iki adam, aralarında kel ve altın kartalların da bulunduğu yaklaşık 3 bin 600 kuşu yasa dışı olarak öldürmekle suçlandı.",Çevre
77,Türkiye'de 'İklim Değişikliği Bölgesel Faaliyet Merkezi' kurulacak,"Slovenya'da gerçekleştirilen Akdeniz'in Kirliliğe Karşı Korunması Sözleşmesi 23. Taraflar Konferansında (COP23), tüm tarafların onayı ile Türkiye'de İklim Değişikliği Bölgesel Faaliyet Merkezi kurulması kararı alındı.",Çevre
78,"Öğretmenlere ""su verimliliği"" eğitimi","Tarım ve Orman Bakanı İbrahim Yumaklı, Bakanlığı tarafından öğretmenlere verilecek eğitimle, su verimliliği bilincini tüm eğitim kademelerindeki çocuklara aşılamak istediklerini söyledi.",Çevre
79,İspanya'da aralık ayının sıcaklık rekoru kırıldı,"İspanya'nın güneyindeki Malaga kentinde hava sıcaklığı 29,9 dereceye kadar çıkarken, bunun ülke tarihinde aralık ayı içinde şimdiye kadar tespit edilen en yüksek sıcaklık olduğu bildirildi.",Çevre
80,"İstanbul Havalimanı, karbon akreditasyonu sertifikası programında 4. seviyeye ulaştı","İstanbul Havalimanı, iklim krizi ile mücadelede ""2050 Net Sıfır Taahhüdü"" kapsamındaki çalışmalarıyla Uluslararası Havalimanları Konseyi Avrupa (ACI EUROPE) tarafından verilen ""Havalimanı Karbon Akreditasyonu"" sertifikası programında 4. seviyeyi elde etti.",Çevre
81,İstanbul ormanları iklim değişikliğiyle mücadeleye uygun planlanacak,"Doğa Koruma Merkezi (DKM) Yönetim Kurulu Başkanı Uğur Zeydanlı, Orman Genel Müdürlüğü (OGM) ve Uluslararası Doğayı Koruma Birliği (IUCN) ile işbirliğinde hazırladıkları proje sayesinde İstanbul'daki ormanları iklim değişikliğiyle mücadeleye uygun planlayacaklarını ve orman ekosistemlerinden elde edecekleri faydayı artıracaklarını kaydetti.",Çevre
82,Yapay resifler Marmara Denizi’ndeki canlılara yaşam alanı sunacak,Yapay resifler Marmara Denizi’ndeki canlılara yaşam alanı sunacak ‘Marmara Adaları Yapay Resif Projesi’ tamamlandı.,Çevre
83,"Türkiye'de toprağı korumak için ""iklim senaryoları"" uygulanıyor","Tarım ve Orman Bakanlığı, toprak kalitesini korumak için iyileştirici uygulamalar, yeni nesil nano gübre denemeleri, erozyonla biyolojik mücadele, sera gazı emisyonlarını azaltmaya yönelik müdahaleler ve iklim senaryolarının uygulanması gibi birçok proje yürütüyor.",Çevre
84,Tarımda yoğun kimyasal kullanımı toprağa zarar veriyor,"Uzmanlar, özellikle birim alanda daha fazla ürün elde etmek için kimyasal ürünler kullanılarak yapılan yoğun tarımın, toprak başta olmak üzere çevre sağlığı açısından tehlikeli sonuçlar doğurabileceği uyarısında bulunuyor.",Çevre
85,Karbon emisyonlarının bu yıl tarihi zirveye ulaşacağı öngörülüyor,"Fosil yakıtlardan kaynaklanan karbon emisyonlarının bu yıl geçen yıla göre yüzde 1,1 artarak 36,8 milyar tonla tarihi zirveye ulaşacağı hesaplanıyor.",Çevre
